instant,casual,registered
175,969,4022
176,1782,3420
177,1920,3385
178,854,3854
179,732,3916
180,848,4377
181,1027,4488
182,1246,4116
183,2204,2915
184,2282,2367
185,3065,2978
186,1031,3634
187,784,3845
188,754,3838
189,692,3348
190,1988,3348
191,1743,3138
192,723,3363
193,662,3596
194,748,3594
195,888,4196
196,1318,4220
197,2418,3505
198,2006,3296
199,841,3617
200,752,3789
201,644,3688
202,632,3152
203,562,2825
204,987,2298
205,1050,2556
206,568,3272
207,750,3840
208,755,3901
209,606,3784
210,670,3176
211,1559,2916
212,1524,2778
213,729,3537
214,801,4044
215,467,3107
216,799,3777
217,1023,3843
218,1521,2773
219,1298,2487
220,846,3480
221,907,3695
222,884,3896
223,812,3980
224,1051,3854
225,1504,2646
226,1338,2482
227,775,3563
228,721,4004
229,668,4026
230,639,3166
231,797,3356
232,1914,3277
233,1249,2624
234,833,3925
235,1281,4614
236,949,4181
237,435,3107
238,768,3893
239,226,889
240,1415,2919
241,729,3905
242,775,4429
243,688,4370
244,783,4332
245,875,3852
246,1935,2549
247,2521,2419
248,1236,2115
249,204,2506
250,118,1878
251,153,1689
252,417,3127
253,1750,3595
254,1633,3413
255,690,4023
256,701,4062
257,647,4138
258,428,3231
259,742,4018
260,1434,3077
261,1353,2921
262,691,3848
263,438,3203
264,539,3813
265,555,4240
266,258,2137
267,1776,3647
268,1544,3466
269,684,3946
270,477,3643
271,480,3427
272,653,4186
273,830,4372
274,480,1949
275,616,2302
276,330,3240
277,486,3970
278,559,4267
279,639,4126
280,949,4036
281,2235,3174
282,2397,3114
283,1514,3603
284,667,3896
285,217,2199
286,290,2623
287,529,3115
288,1899,3318
289,1748,3293
290,713,3857
291,637,4111
292,254,2170
293,471,3724
294,676,3628
295,1499,2809
296,1619,2762
297,699,3488
298,695,3992
299,404,3490
300,240,2419
301,456,3291
302,57,570
303,885,2446
304,362,3307
305,410,3658
306,370,3816
307,318,3656
308,470,3576
309,1156,2770
310,952,2697
311,373,3662
312,376,3829
313,305,3804
314,190,2743
315,440,2928
316,1275,2792
317,1004,2713
318,595,3891
319,449,3746
320,145,1672
321,139,2914
322,245,3147
323,943,2720
324,787,2733
325,220,2545
326,69,1538
327,112,2454
328,560,935
329,1095,1697
330,1249,1819
331,810,2261
332,253,3614
333,96,2818
334,188,3425
335,182,3545
336,268,3672
337,706,2908
338,634,2851
339,233,3578
340,126,2468
341,50,655
342,150,3172
343,261,3359
344,502,2688
345,377,2366
346,143,3167
347,155,3368
348,178,3562
349,181,3528
350,178,3399
351,275,2464
352,220,2211
353,260,3143
354,216,3534
355,107,2553
356,227,2841
357,163,2046
358,155,856
359,303,451
360,430,887
361,103,1059
362,255,2047
363,254,2169
364,491,2508
365,665,1820
366,686,1608
367,244,1707
368,89,2147
369,95,2273
370,140,3132
371,307,3791
372,1070,3451
373,599,2826
374,106,2270
375,173,3425
376,92,2085
377,269,3828
378,174,3040
379,333,2160
380,284,2027
381,217,2081
382,127,2808
383,109,3267
384,130,3162
385,115,3048
386,67,1234
387,196,1781
388,145,2287
389,439,3900
390,467,3803
391,244,3831
392,269,3187
393,775,3248
394,558,2685
395,126,3498
396,324,4185
397,304,4275
398,190,3571
399,310,3841
400,384,2448
401,318,2629
402,206,3578
403,199,4176
404,109,2693
405,163,3667
406,227,3604
407,192,1977
408,73,1456
409,94,3328
410,135,3787
411,141,4028
412,74,2931
413,349,3805
414,1435,2883
415,618,2071
416,502,2627
417,163,3614
418,394,4379
419,516,4546
420,246,3241
421,317,2415
422,515,2874
423,253,4069
424,229,4134
425,65,1769
426,325,4665
427,246,2948
428,956,3110
429,710,2713
430,203,3130
431,221,3735
432,432,4484
433,486,4896
434,447,4122
435,968,3150
436,1658,3253
437,838,4460
438,762,5085
439,997,5315
440,1005,5187
441,548,3830
442,3155,4681
443,2207,3685
444,982,5171
445,1051,5042
446,1122,5108
447,1334,5537
448,2469,5893
449,1033,2339
450,1532,3464
451,795,4763
452,531,4571
453,674,5024
454,834,5299
455,796,4663
456,2301,3934
457,2347,3694
458,1208,4728
459,1348,5424
460,1058,5378
461,1192,5265
462,1807,4653
463,3252,3605
464,2230,2939
465,905,4680
466,819,5099
467,482,4380
468,663,4746
469,1252,5146
470,2795,4665
471,2846,4286
472,1198,5172
473,989,5702
474,347,4020
475,846,5719
476,1340,5950
477,2541,4083
478,120,907
479,195,3019
480,518,5115
481,655,5541
482,475,4551
483,1014,5219
484,1120,3100
485,2229,4075
486,665,4907
487,653,5087
488,667,5502
489,764,5657
490,1069,5227
491,2496,4387
492,2135,4224
493,1008,5265
494,738,4990
495,620,4097
496,1026,5546
497,1319,5711
498,2622,4807
499,2172,3946
500,342,2501
501,625,4490
502,991,6433
503,1242,6142
504,1521,6118
505,3410,4884
506,2704,4425
507,630,3729
508,819,5254
509,766,4494
510,1059,5711
511,1417,5317
512,2855,3681
513,3283,3308
514,2557,3486
515,880,4863
516,745,6110
517,1100,6238
518,533,3594
519,2795,5325
520,2494,5147
521,1071,5927
522,968,6033
523,1027,6028
524,1038,6456
525,1488,6248
526,2708,4790
527,2224,4374
528,1017,5647
529,477,4495
530,1173,6248
531,1180,6183
532,1563,6102
533,2963,4739
534,2634,4344
535,653,4446
536,968,5857
537,872,5339
538,778,5127
539,964,4859
540,2657,4801
541,2551,4340
542,1139,5640
543,1077,6365
544,1077,6258
545,921,5958
546,829,4634
547,1455,4232
548,1421,4110
549,904,5323
550,1052,5608
551,2562,4841
552,1405,4836
553,1366,4841
554,1448,3392
555,1203,3469
556,998,5571
557,954,5336
558,975,6289
559,1032,6414
560,1511,5988
561,2355,4614
562,1920,4111
563,1088,5742
564,921,5865
565,799,4914
566,888,5703
567,747,5123
568,1264,3195
569,2544,4866
570,1135,5831
571,1140,6452
572,1383,6790
573,1036,5825
574,1259,5645
575,2234,4451
576,2153,4444
577,1040,6065
578,968,6248
579,1074,6506
580,983,6278
581,1328,5847
582,2345,4479
583,1707,3757
584,1233,5780
585,1278,5995
586,1263,6271
587,1196,6090
588,1065,4721
589,2247,4052
590,2182,4362
591,1207,5676
592,1128,5656
593,1198,6149
594,1338,6267
595,1483,5665
596,2827,5038
597,1208,3341
598,1026,5504
599,1081,5925
600,1094,6281
601,1363,6402
602,1325,6257
603,1829,4224
604,1483,3772
605,989,5928
606,935,6105
607,1177,6520
608,1172,6541
609,1433,5917
610,2352,3788
611,2613,3197
612,1965,4069
613,867,5997
614,832,6280
615,611,5592
616,1045,6459
617,1557,4419
618,2570,5657
619,1118,6407
620,1070,6697
621,1050,6820
622,1054,6750
623,1379,6630
624,3160,5554
625,2166,5167
626,1022,5847
627,371,3702
628,788,6803
629,939,6781
630,1250,6917
631,2512,5883
632,2454,5453
633,1001,6435
634,845,6693
635,787,6946
636,751,6642
637,1045,6370
638,2589,5966
639,2015,4874
640,763,6015
641,315,4324
642,728,6844
643,891,6437
644,1516,6640
645,3031,4934
646,781,2729
647,874,4604
648,601,5791
649,780,6911
650,834,6736
651,1060,6222
652,2252,4857
653,2080,4559
654,760,5115
655,922,6612
656,979,6482
657,1008,6501
658,753,4671
659,2806,5284
660,2132,4692
661,830,6228
662,841,6625
663,795,6898
664,875,6484
665,1182,6262
666,2643,5209
667,998,3461
668,2,20
669,87,1009
670,419,5147
671,466,5520
672,618,5229
673,1029,4109
674,1201,3906
675,378,4881
676,466,5220
677,326,4709
678,340,4975
679,709,5283
680,2090,4446
681,2290,4562
682,1097,5172
683,327,3767
684,373,5122
685,320,5125
686,484,5214
687,1313,4316
688,922,3747
689,449,5050
690,534,5100
691,615,4531
692,955,1470
693,1603,2307
694,532,1745
695,309,2115
696,337,4750
697,123,3836
698,198,5062
699,243,5080
700,362,5306
701,951,4240
702,892,3757
703,555,5679
704,551,6055
705,331,5398
706,340,5035
707,349,4659
708,1153,4429
709,441,2787
710,329,4841
711,282,5219
712,310,5009
713,425,5107
714,429,5182
715,767,4280
716,538,3248
717,212,4373
718,433,5124
719,333,4934
720,314,3814
721,221,3402
722,205,1544
723,408,1379
724,174,746
725,440,573
726,9,432
727,247,1867
728,644,2451
729,159,1182
730,364,1432
731,439,2290
